Francais,Malagasy,Anglais
préjudice (un),famosaviana,"spell (act of casting a),witchcraft (a)"
préservatif,ody,"charm,fetish,medicine"
prophétie (une),faminaniana,prophecy (a)
remède,ody,"charm,fetish,medicine"
remède,"aody,hazary","charm (a),enchantment (an)"
revenant,matoatoa,ghost
revenant (un),"lolovokatra,lolo","ghost (a),phantom (a)"
sagittaire,alakaosy,sagittarius
scorpion,alakarabo,scorpio
sorcellerie,ody,"charm,fetish,medicine"
sortilège (un),famosaviana,"spell (act of casting a),witchcraft (a)"
spectre,matoatoa,ghost
spectre (un),lolo,"ghost (a),phantom (a)"
superstition (une),finoanoam-poana,superstition (a)
talisman pour éloquence,fametsivetsena,charm for public speaking
talisman (un),fanahonana,charm (kind of a)
taureau,adaoro,taurus
verseau,adalo,aquarius
vierge,asombola,virgo
document,lahatsoratra na sary,document
economie,toe-karena,economy
economie:agriculture,toe-karena:fambolena,economy:agriculture
bouse,tain' omby,manure
bouse de vache (une),taik' omby,manure (a cow)
bouture (une),masomboly,"cutting (a),seed (a),tuber (a)"
charruei (une),angadinomby,plow (a)
couper (action de),jinja,reaping (a)
croc-en-jambe (action de donner un),jinja,reaping (a)
déforestation (une),tetika,disforesting
engrais,"zezi-bazaha,zezika","fertilizer,manure"
faucher (action de),jinja,reaping (a)
fumier,"roka,zezika","fertilizer,manure"
graine (une),masomboly,"cutting (a),seed (a),tuber (a)"
ivraie,akofa,chaff
labour (un),"folatany,hosy",trampling
moissonner (action de),jinja,reaping (a)
moisson (une),jinja,reaping (a)
mûri sur pied (fruit),masaka ifotony,ripened on the tree (fruit)
nombreux,zezika,"fertilizer,manure"
pépinière,taninketsa,"rice,seedbed"
piétinage des rizières,hosy,trampling
plant (un),ketsa,seedling (a)
première récolte de riz,vary aloha,first crop of rice
récolte,"varialoha,vary afara","crop,rice"
rizière,"tanimbary,taninketsa","ricefield,rice,seedbed"
riz non-décortiqué,"akatatra,akata",rice in the husk
riz,"fotsimbary,varialoha,vary afara,vary vakiambiaty","crop,planting,rice"
semaille,vary vakiambiaty,"planting,rice"
semence (une),masomboly,"cutting (a),seed (a),tuber (a)"
semer,mamafy,"disperse (to),disseminate (to),scatter (to),sow (to)"
semis (un),"fafim-boly,ketsa",seedling (a)
sillon (un),vava asa,furrow (a)
son,akofa,chaff
tubercule (une),masomboly,"cutting (a),seed (a),tuber (a)"
economie:alimentation,toe-karena:hanina,economy:food
absinthe,laposety,absinthe
aliments (des),sakafo,"food,meal (a)"
anchois (des),tovy,anchovy (an)
banane,fintsa,banana
beurre,dibera,butter
blanc d'oeuf (un),tampotsin' atody,"egg white,white (egg)"
bonbons,darazay,sweetmeats
chocolat,sokolà,chocolate
crème,hero-dronono,cream
cuisiner (acte de),nahandro,"cooked food,cooking,food (cooked),meal (a)"
cuisse de poule (une),fen' akoho,drumstick of a chicken (a)
cuisson,"fahandroana,handro,ketrika",cooking
daube,ladobo,"meat,poultry"
déjeuner (un),sakafo,"food,meal (a)"
dîner (un),sakafo,"food,meal (a)"
dragées,darazay,sweetmeats
farines (des),koba,"dough,flour"
farine (une),koba,"dough,flour"
friture,"endy,fanendasana",fried food
fromage,foromazy,cheese
gâteau,mofomamy,cake
goûter (un),sakafo,"food,meal (a)"
gratton,karatoa,cracklings
grillade,"endy,tsatsika",fried food
grille à rôtir (une),salazana,gridiron (a)
gril (un),salazana,gridiron (a)
huile,diloilo,oil
jaune d'oeuf (un),tamenaka,yolk of egg (a)
lait,ronono,milk
maïs,tsako,"corn,maize"
manioc (purée de),ravintoto,manioc (pounded)
mets cuisinés,nahandro,"cooked food,cooking,food (cooked),meal (a)"
mets,nahandro,"cooked food,cooking,food (cooked),meal (a)"
mets (un),sakafo,"food,meal (a)"
miel (du),antely,honey
miel,"fandrama,tantele,titely",honey
miel (un),tantely,honey
nourriture,"hany,remby",food
oeuf (blanc d'),tampotsin' atody,"egg white,white (egg)"
pain,mofo,bread
pâtes (des),koba,"dough,flour"
pâte (une),koba,"dough,flour"
pêche (produit de la),hazandrano,"fish (the),seafood"
poissons (les),hazandrano,"fish (the),seafood"
poudre (sel en),vovo-tsira,salt (table)
repas (un),"nahandro,sakafo","cooked food,cooking,food (cooked),food,meal (a)"
riz (action de trier le),fantim-bary,rice (picked)
riz (manger du),homam-bary,rice (to eat)
riz,"ampango,sosoa,vary ampangoro",rice
riz trié,fantim-bary,rice (picked)
riz (variété de),"botri-vaventy,makalioka",rice (variety of)
rôti,endy,fried food
sauce,"filotra,lasosy,lotalotaky","gravy,sauce"
saucisse,saosisy,sausage
sel en poudre,vovo-tsira,salt (table)
sel,"fanasina,sira",salt
sirop,sirao,sirup
souper (un),sakafo,"food,meal (a)"
soupe,lasopy,soup
sucre (du),siramamy,sugar (the)
thé,dite,tea
torréfaction,endy,fried food
trié (riz),fantim-bary,rice (picked)
trier le riz (action de),fantim-bary,rice (picked)
viande boucanée (une),kitoza,meat (salted and dried)
viande (une),hena,meat (a)
viande,ladobo,"meat,poultry"
vin (le),divay,wine (the)
vivres (des),sakafo,"food,meal (a)"
volaille,ladobo,"meat,poultry"
economie:articles ménagers,toe-karena:ao an-trano,economy:household items
assiette,vilia,"dish,plate"
balai,famafa,"broom,brush"
bouilloire,kafitera,"coffee,pot"
bouillotte,kafitera,"coffee,pot"
cafetière,kafitera,"coffee,pot"
lit,fandriana,"bedding,bed"
nappe de table (une),lamban-databatra,table-cloth (a)`
planche à repasser,fafana fipasohana,ironing board
plat,vilia,"dish,plate"
tiroir (un),vatasarihina,drawer (a)
"economie:bâtiments, travaux publics",toe-karena:fanorenana,"economy:buildings, public works"
arceau (un),andohalambo,"arch (an),vault (a)"
arc (un),andohalambo,"arch (an),vault (a)"
avenue (une),arabe,"road (a),street (a)"
brique,biriky,brick
carreau,"tailan-gorodona,taila",tile
ciment,simenitra,cement
cintre (un),andohalambo,"arch (an),vault (a)"
dallage (un),lampy,"marble,slabs,stones"
échelle (une),tohatra,"ladder (a),staircase (a)"
escalier (un),tohatra,"ladder (a),staircase (a)"
fenêtre (une),varavarana,"door (a),window (a)"
fenêtre (une),varavarankely,window (a)
fond d'un mur (le),vodirindrina,base of a wall (the)
maçonnerie,rafi-bato,"masonry,stome work"
muraille (une),tamboho,"breastwork (a),rampart (a),wall (a)"
ogive (une),andohalambo,"arch (an),vault (a)"
parpaing,"biriky simenitra,biriky",brick
passage à niveau (un),hitsadalamby,crossing (a railroad)
passerelle,tetezana,bridge
pierre angulaire (une),fehizoro,cornerstone (a)
pignon,tapenaka,gable
plafond,valindrihana,ceiling
pont,tetezana,bridge
porte (une),varavarana,"door (a),window (a)"
rempart (une),tamboho,"breastwork (a),rampart (a),wall (a)"
route (une),arabe,"road (a),street (a)"
rue (une),arabe,"road (a),street (a)"
soubassement du mur,vodirindrina,base of a wall (the)
voûte (une),andohalambo,"arch (an),vault (a)"
economie:commerce,toe-karena:varotra,economy:trade
achat,fividianana,buying (act of)
acheter (action d'),fividianana,buying (act of)
acheter en bloc,mamongady,sell at wholesale (to)
affichage (un),filazam-barotra,advertising
chambre de commerce,antenimieran' ny varotra,chamber of commerce
commerce,fivarotana,"selling,shop"
commerce en gros,vongady,"wholesale buying,wholesale selling"
commerce (un),vanga,"purchase (a),sale (a)"
détail (au),antsinjarany,retail (at)
entasser,mamongady,sell at wholesale (to)
gros (en),"ambongadiny,vongadiny",wholesale (at)
marchandise,entam-barotra,merchandise
négoce (un),vanga,"purchase (a),sale (a)"
prix d'achat (un),vanga,"purchase (a),sale (a)"
publicité (une),filazam-barotra,advertising
reçu,rosia,receipt
trafic (un),vanga,"purchase (a),sale (a)"
vendre en gros,mamongady,sell at wholesale (to)
vendre,fivarotana,"selling,shop"
vente,"fivarotana,varotry","selling,shop"
economie:élevage,toe-karena:fiompiana,"economy:breeding, farming"
abeille (une),renintantely,"bee (a),queen bee (a)"
alimentation des animaux,"famahanana biby,sakafom-biby","feeding (animal),food (animal)"
alimentation des poissons,"famahanana trondro,sakafon-trondro",feeding (fish)
aliment pour animaux,"famahanana biby,sakafom-biby","feeding (animal),food (animal)"
boeuf grand et maigre,ankoala,ox (lean and tall)
canard,sarindokotra,duck
chapon,"akôholahy bôsy,akoho vositra",capon
couver,mikotrika,eggs (to sit on)
élevage,fiompiana,"breeding,cattle breeding,rearing"
élevage (faire de l'),miompy,"feed (to),raise animals (to)"
éleveur,mpiompy,stockman
joug,"jioga,zioga",yoke
noir,mainty,black
poule (une),"akohovavy,reniakoho",hen (a)
poussin,akohokely,chicken
reine des abeilles (une),renintantely,"bee (a),queen bee (a)"
son de riz fin,ampombo malemy,fine bran
economie:(en général),toe-karena:(amin' ny ankapobeny),economy:(in general)
acheter,mividy,buy (to)
acheteur,mpividy,buyer
client,mpividy,buyer
commerce (un),varotra,"commerce (a),selling (a),trade (a)"
compagnie,kompania,"company,corporation"
marchandise (une),varotra,"commerce (a),selling (a),trade (a)"
métier qui nourrit,antom-pivelomana,means of subsistence
moyen de subsistance,antom-pivelomana,means of subsistence
négoce (un),varotra,"commerce (a),selling (a),trade (a)"
paysan (un),tantsaha,"countryman (a),farmer (a)"
prix (un),vidy,"price (a),value (a)"
trafic (un),varotra,"commerce (a),selling (a),trade (a)"
valeur (une),vidy,"price (a),value (a)"
vente (une),varotra,"commerce (a),selling (a),trade (a)"
"economie:finances, gestion",toe-karena:ara-bola ary fitantanana,"economy:finances, management"
action,petra-bola,"bond (a),stock (a)"
action (une),petra-bola,"bond (a),stock (a)"
argent (l'),vola,money
avantage,tombon-tsoa,"advantage,privilege"
banque,banky,bank
bénéfice,tombom-barotra,profit
bon,petra-bola,"bond (a),stock (a)"
bon du trésor (un),petra-bola,"bond (a),stock (a)"
capital,"kapitaly,renivola","capital,principal"
capitalisme (le),kapitalisma,capitalism (the)
capital (un),"hana,masonkarena","borrowing (a),capital (a),cost (a),interest (an),lending (a)"
centime,santima,cent
compenser,manonitra,"compensate (to),refund (to),repay (to),restore (to)"
crédit,voaka,credit
date de retrait,daty fisintonana,withdrawal date
dollar (un),dolara,dollar (a)
économie (une),tahiry,saved up (something)
économise (ce qu'on),tahiry,saved up (something)
emprunter pour payer une dette (action d'),findra hahy,borrowing to pay a debt (act of)
épargne (une),petra-bola,"bond (a),stock (a)"
épargne (une),tahiry,saved up (something)
excédent (un),ambim-bava,surplus (a)
facture,lazam-bidy,"invoice (an),price (a)"
franc,iraimbilanja,franc
impôt (un),hetra,tax (a)
intérêt (ce qui est prêté à),hana,"borrowing (a),interest (an),lending (a)"
intérêt,tombon-tsoa,"advantage,privilege"
intérêt (un),zana-bola,interest (an)
mémoire (une),tahiry,saved up (something)
monnaie (la),vola,money
monnaie,"famerim-bola,herim-bola,torotorony",change
monopole (un),ampihimamba,monopoly (a)
payer,manonitra,"compensate (to),refund (to),repay (to),restore (to)"
piastre,"ariary,farantsa",dollar
pièce de cinq francs (une),malamakely,coin (a five franc)
placement (un),petra-bola,"bond (a),stock (a)"
privilège,tombon-tsoa,"advantage,privilege"
prix de revient (un),masonkarena,"capital (a),cost (a)"
prix,lazam-bidy,"invoice (an),price (a)"
prix (un),masonkarena,"capital (a),cost (a)"
récompenser,manonitra,"compensate (to),refund (to),repay (to),restore (to)"
récupérer,manonitra,"compensate (to),refund (to),repay (to),restore (to)"
redevance (une),hetra,tax (a)
rembourser,"mandoa hanin-kinana,manonitra","compensate (to),refund (to),repay (to),restore (to)"
remplacer,manonitra,"compensate (to),refund (to),repay (to),restore (to)"
roupie,ropia,rupee
solde (une),varo-boba,sold cheaply
stock (un),tahiry,saved up (something)
surplus (un),ambim-bava,surplus (a)
taxe (une),hetra,tax (a)
thésaurise (ce qu'on),tahiry,saved up (something)
timbre fiscal,hajian-ketra,"stamp (excise),stamp (fiscal),stamp (revenue)"
titre (un),petra-bola,"bond (a),stock (a)"
tribut (un),hetra,tax (a)
vendu à vil prix,varo-boba,sold cheaply
"economie:imprimerie, dessin","toe-karena:tonta printy, sary","economy:printing, drawing"
caractère d'imprimerie (un),lohavy,type (a)
centré,manivo,centered
fonte (une),lohavy,type (a)
gazette (une),gazety,"gazette (a),newspaper (a),periodical (a),report (a)"
journal (un),gazety,"gazette (a),newspaper (a),periodical (a),report (a)"
majuscule (une),lohasoratra,upper-case letter (an)
périodique (un),gazety,"gazette (a),newspaper (a),periodical (a),report (a)"
revue (une),gazety,"gazette (a),newspaper (a),periodical (a),report (a)"
economie:mécanique,toe-karena:haihetsika,economy:mechanics
economie:métallurgie,toe-karena:tao vy,economy:metallurgy
acier,"tsy,vy mahery",steel
economie:vêtements,toe-karena:zaitra,economy:clothing
bas,ban-kiraro,"socks,stockings"
baudrier,samboady,sash
bouton (un),bokotra,button (a)
brocart,amborodao,"border,brocade,design,sewing"
capote,kapaoty,cloak
ceinture (une),"etry,fehikibo,reritra","belt (a),girdle (a),girth (a)"
châle (un),lamba,"cloth (a),clothing (a)"
chaussette,ban-kiraro,"socks,stockings"
chemise,"akanjo lobaka,saloke",shirt
chemise de nuit,akanjo mandry,nightgown
chemise (une),"akanjo,lobaka","clothing,dress (a),shirt (a)"
civil,akanjo borizano,"civilian,dress"
col (un),vozon' akanjo,collar (a)
corsage,"akanjo bory tanana,akanjo gaika,akanjo manara-tena,sikitratra","jacket,waistcoat"
corsage (un),akanjo,"clothing,dress (a),shirt (a)"
corset,fitizy,"corset,girdle"
costume (un),akanjo,"clothing,dress (a),shirt (a)"
coton,soga,"fabric,muslin"
cotonnade,hasy,cotton
coupe,gora,bolt
cravate (une),"fehitenda,fehy vozo","cravat (a),neck-cloth (a),necktie (a)"
damas,damà,calico
damassée (étoffe),damà,calico
dé à coudre (un),fanosehana,thimble (a)
dentelle,"dantelina,dantely",lace
doublure,dabolera,lining
écharpe,samboady,sash
étoffe,"rambon-damba,sikina","cloth,weaving"
faufiler (action de),vikavika,stitch (a)
faufil (un),"tsetseky dify,vikavika",stitch (a)
fil de soie,hariry,woven cloth
flanelle,filanelina,flannel
frange,rambon-damba,weaving
gaine,fitizy,"corset,girdle"
gants (des),gan-tanana,gloves
gants,ga,gloves
guêtres,gety,gaiters
habillement (un),akanjo,"clothing,dress (a),shirt (a)"
habit,"akanjo borizano,akanjo jabỳ,akanjo zabỳ,saloke,tafy","civilian,clothing,dress"
habit long (un),akanjo lava,"cassock (a),gown (a),robe (a)"
habit (un),akanjo,"clothing,dress (a),shirt (a)"
haut-de-forme,jaomalanga,top hat
haut-de-forme (un),satro-borizano,top-hat (a)
hauts-de-forme (des),satro-borizano,top-hat (a)
jupe (une),zipo,skirt (a)
laine,volonondry,wool
lange,"lamban-jaza,salaka","diaper,loincloth,nappy"
machine à coudre,milina fanjairana,sewing machine
manteau,kapaoty,cloak
mouchoir (un),mosara,handkerchief (a)
pagne,"kitamby,lambahoany,sadika,salaka,samboritry,totohoko","cloth,diaper,loincloth,nappy,sarong"
paletot (un),palitao,"coat (a),jacket (a)"
pantalon,"akanjon-tongotra,pataloha",trousers
pantalon (un),pataloa,trousers
pardessus,"akanjobe,pardesià",overcoat
passementerie,amborodao,"border,brocade,design,sewing"
poche,paosy,pocket
point de bâti (un),vikavika,stitch (a)
pull-over (un),akanjo ba,"garment (a),sweater (a)"
queue,rambon' akanjo,"dress,train"
rabane,"jiafotsy,sadadioky","cloth,raffia"
raphia,jiafotsy,"cloth,raffia"
robe de chambre (une),akanjo lava,"cassock (a),gown (a),robe (a)"
robe,rambon' akanjo,"dress,train"
robe (une),akanjo,"clothing,dress (a),shirt (a)"
ruban (un),ribà,ribbon (a)
sandales (des),kapa,sandal
sarong,lambahoany,sarong
soie,"irotra,landy",silk
tissu fin,hariry,woven cloth
tissu,"jiafotsy,soga,voloinaty,zandiana","cloth,fabric,muslin,raffia"
tissu (un),lamba,"cloth (a),clothing (a)"
toile (une),lamba,"cloth (a),clothing (a)"
traîne,rambon' akanjo,"dress,train"
tricot,ba,"knitting,socks,stockings"
tricot (un),akanjo ba,"garment (a),sweater (a)"
uniforme (un),akanjo fanamiana,uniform (a)
veste (une),"palitao,salotra","coat (a),jacket (a),vest (a),waistcoat (a)"
vêtement (un),lamba,"cloth (a),clothing (a)"
vêtement (un),akanjo,"clothing,dress (a),shirt (a)"
vêtement,fitafiana,clothing
vêtement,tafy,clothing
ecritures saintes,soratra masina,holy scriptures
aaron,"aarona,arona",aaron
abaddôn,abadona,abaddon
abana,abana,abana
abarim,abarima,abarim
abba,aba,abba
abbiyya,abiasa,"abiah,abia,abijah,abijam"
abda,abdà,abda
abdéel,abdeely,abdeel
abdi,"abdia,abdì",abdi
abdias,"abdiasa,obadia",obadiah
abdiel,abdiela,abdiel
abdôn,abdona,abdon
abed-nego,"abdenegao,abednego",abednego
abel,abela,abel
abel-bet-maaka,abela-beta-makaa,abelbethmaachah
abel-ha-shittim,"abela-setima,abela-sitima",abelshittim
abel-mayim,abela-maima,abelmaim
abel-mehola,"abela-mehola,abelmeholà",abelmeholah
abel-miçrayim,"abela mitsraïma,abel-egyptiana",abelmizraim
abgata,"abagta,abgatà",abagtha
abia,abiasa,"abiah,abia,abijah,abijam"
abiasaph,abiasafa,abiasaph
abiathar,abiatara,abiathar
abibaal,abi-albona,abialbon
abib,abiba,abib
abida,abidà,abidah
abiel,abiela,abiel
abiézer,"abiesera,abiezrita","abiezer,abiezrites,abiezrite"
abihayil,abihaila,abihail
abihu,"abiho,abio",abihu
abilène,abilena,abilene
abimaèl,"abimaela,amimaèla",abimael
abimélek,abimeleka,abimelech
abinadab,abinadaba,abinadab
abinoam,"abinoama,abinoema",abinoam
abioud,"abihoda,abioda",abiud
abiram,"abìrama,abirona",abiram
abishag,abisaga,abishag
abishaï,"abisai,abisay",abishai
abishua,"abisoa,abisoe",abishua
abishur,abisora,abishur
abital,abitala,abital
abitub,abitoba,abitub
abiyya,"abiasa,abì,aby","abiah,abia,abijah,abijam,abi"
abiyyam,"abiama,abiasa","abiah,abia,abijah,abijam"
abner,abnera,abner
abraham,abrahama,abraham
abram,abrama,abram
abrona,"abrona,kariat-arbe","ebronah,hebron,kirjatharba"
absalom,"abesaloma,absaloma","abishalom,absalom"
açalyahu,"aslia,azalia",azaliah
açel,"asela,azela",azel
achab,"ahaba,akaba",ahab
achaïcus,akaïko,achaicus
achaïe,akaia,achaia
achaz,"ahaza,akaza",ahaz
açmôn,"asemona,azmona",azmon
actes,asa,acts
ada,ada,adah
adalya,"adabia,adalia",adalia
adam,adama,adam
adâm,"adama,adoma",adam
adar,adara,adar
adaya,"adaia,hadaia",adaiah
adayahu,hadaia,adaiah
adbéel,"abdela,adbeela",adbeel
addân,"adana,adona","addan,addon,addan"
addi,adì,addi
addôn,"adaona,adona","addon,addan,addon"
adiel,adiela,adiel
adîn,adina,adina
adlaï,"adlay,adlì",adlai
adma,"adamà,adma",admah
admata,admatà,admatha
adna,adna,adnah
adonias,"adoniasa,adonia",adonijah
adoni-bézeq,adoni-bezeka,adonibezek
adoniqam,adonikama,adonikam
adoram,"adonirama,adorama","adoniram,adoram"
adorayim,adoraima,adoraim
adrammélek,"adramelaka,adrameleka",adrammelech
adramyttium,"adramita,adramytena",adramyttium
adriatique,"adriatika,adria",adria
adriel,"adriela,hadriela",adriel
adullam,"adolama,odolama",adullam
aenon,"ainona,enòna",aenon
agabus,"agabosa,agabo",agabus
agag,agaga,agag
agagite,agagita,agagite
agar,"agara,hagara",hagar
aggée,"akeja,akjea,akzea,hagay",haggai
agrippa,agripa,agrippa
agur,agora,agur
aharhel,"aharehela,aharela",aharhel
ahasbaï,"ahasbay,asbaia",ahasbai
ahava,ahava,ahava
ahbân,ahobàna,ahban
aher,ahera,aher
ahi,"ahiasa,akiasy","ahiah,ahijah,ahi"
ahiam,ahiama,ahiam
